GEOCODE,Gcd_municipio,Poblacion,Poblacion_edad_media,Poblacion_hombres,Poblacion_mujeresPpoblacion_indice_feminidad,Poblacion_nacional,Poblacion_extranjera,Poblacion_extranjera_pcPpoblacion_00a14,Poblacion_15a64,Poblacion_65mas,Poblacion_65a74,Poblacion_75a84,Poblacion_85masPpoblacion_00a14_pc,Poblacion_15a64_pc,Poblacion_65mas_pc,Poblacion_indice_dependenciaPpoblacion_indice_dependencia_mayores,Poblacion_indice_dependencia_menores,Poblacion_indice_vejezPpoblacion_indice_juventud,Poblacion_indice_sobreenvejecimiento,Poblacion_indice_ancianidad,Superficie,Poblacion_ds,Poblacion_extranjera_ds,Poblacion_00a02,Poblacion_03a05,Poblacion_06a11Ppoblacion_12a15,Poblacion_16a17,Poblacion_00a17,Poblacion_nacida_canariasPpoblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pcPpoblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc,Poblacion_16a16,Poblacion_00a16,Poblacion_nacida_canarias,Poblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pc,Poblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc
20070101_38053_D01,38053,4880,43.1,2478,2402,96.9,4454,426,8.7,653,3226,1001,498,342,161,13.4,66.1,20.5,51.3,31,20.2,153.3,65.2,16.1,34.2,7033.3,69.4,6.1,91,124,258,230,116,819,3916,168,796,80.2,3.4,16.3
20070101_38052_D01,38052,1900,41.4,966,934,96.7,1684,216,11.4,278,1284,338,177,118,43,14.6,67.6,17.8,48,26.3,21.7,121.6,82.2,12.7,34.9,5642.2,33.7,3.8,48,49,123,77,45,342,1558,64,278,82,3.4,14.6
20070101_38051_D01,38051,8676,39.2,4322,4354,100.7,8327,349,4,1257,6178,1241,727,432,82,14.5,71.2,14.3,40.4,20.1,20.3,98.7,101.3,6.6,34.8,1823.5,475.8,19.1,242,247,490,373,198,1550,7931,145,600,91.4,1.7,6.9
20070101_38050_D03,38050,835,50.1,422,413,97.9,779,56,6.7,57,532,246,133,84,29,6.8,63.7,29.5,57,46.2,10.7,431.6,23.2,11.8,34.1,4261,19.6,1.3,8,8,23,19,9,67,762,6,67,91.3,0.7,8
20070101_38050_D01,38050,2307,48.4,1167,1140,97.7,2156,151,6.5,233,1371,703,338,262,103,10.1,59.4,30.5,68.3,51.3,17,301.7,33.1,14.7,37.3,6616.1,34.9,2.3,33,35,107,81,34,290,2007,53,247,87,2.3,10.7
20070101_38049_D01,38049,5116,42.2,2597,2519,97,3451,1665,32.5,620,3669,827,485,245,97,12.1,71.7,16.2,39.4,22.5,16.9,133.4,75,11.7,29.6,3175.2,161.1,52.4,130,118,243,162,84,737,3038,159,1919,59.4,3.1,37.5
20070101_38048_D01,38048,4914,42.3,2484,2430,97.8,4507,407,8.3,666,3311,937,479,320,138,13.6,67.4,19.1,48.4,28.3,20.1,140.7,71.1,14.7,34.2,10342.3,47.5,3.9,123,124,272,208,95,822,3750,340,824,76.3,6.9,16.8
20070101_38047_D01,38047,2744,43.8,1396,1348,96.6,2259,485,17.7,361,1813,570,310,189,71,13.2,66.1,20.8,51.4,31.4,19.9,157.9,63.3,12.5,33.2,5372,51.1,9,50,70,152,115,50,437,2079,79,586,75.8,2.9,21.4
20070101_38046_D01,38046,10461,38.6,5199,5262,101.2,10264,197,1.9,1576,7588,1297,768,422,107,15.1,72.5,12.4,37.9,17.1,20.8,82.3,121.5,8.2,32.5,2665.5,392.5,7.4,242,306,689,466,259,1962,9431,452,578,90.2,4.3,5.5
20070101_38045_D01,38045,5828,43.1,2934,2894,98.6,5394,434,7.4,734,3931,1163,593,396,174,12.6,67.5,20,48.3,29.6,18.7,158.4,63.1,15,34,1182.4,492.9,36.7,128,153,299,203,121,904,4826,213,789,82.8,3.7,13.5
20070101_38044_D01,38044,3045,41.6,1508,1537,101.9,2914,131,4.3,411,2078,556,330,176,50,13.5,68.2,18.3,46.5,26.8,19.8,135.3,73.9,9,31.7,2402.7,126.7,5.5,85,83,150,128,87,533,2614,41,390,85.8,1.3,12.8
20070101_38043_D01,38043,22943,38.2,11487,11456,99.7,22135,808,3.5,3617,16454,2872,1707,927,238,15.8,71.7,12.5,39.4,17.5,22,79.4,125.9,8.3,32.3,3007.3,762.9,26.9,724,773,1396,1009,483,4385,20555,946,1442,89.6,4.1,6.3
20070101_38042_D01,38042,5313,44.7,2671,2642,98.9,4683,630,11.9,604,3458,1251,719,386,146,11.4,65.1,23.5,53.6,36.2,17.5,207.1,48.3,11.7,30.9,2457.4,216.2,25.6,100,119,256,170,120,765,4376,104,833,82.4,2,15.7
20070101_38041_D01,38041,8826,38.9,4395,4431,100.8,8029,797,9,1383,6254,1189,671,408,110,15.7,70.9,13.5,41.1,19,22.1,86,116.3,9.3,34.3,1824.4,483.8,43.7,235,275,568,403,203,1684,7381,416,1029,83.6,4.7,11.7
20070101_38040_D01,38040,11493,45.8,5788,5705,98.6,5768,5725,49.8,1279,7450,2764,1694,801,269,11.1,64.8,24,54.3,37.1,17.2,216.1,46.3,9.7,29,5142.1,223.5,111.3,194,274,534,358,190,1550,4987,476,6030,43.4,4.1,52.5
20070101_38039_D01,38039,13393,38,6711,6682,99.6,11712,1681,12.6,2109,9719,1565,952,502,111,15.7,72.6,11.7,37.8,16.1,21.7,74.2,134.8,7.1,32.1,2256.3,593.6,74.5,365,430,881,568,303,2547,10335,737,2321,77.2,5.5,17.3
20070101_38038_D12,38038,14471,35,7217,7254,100.5,14101,370,2.6,2465,10830,1176,750,338,88,17,74.8,8.1,33.6,10.9,22.8,47.7,209.6,7.5,28.7,810.7,1784.9,45.6,515,533,895,705,360,3008,12789,668,1014,88.4,4.6,7
20070101_38038_D11,38038,27018,33.8,13263,13755,103.7,26051,967,3.6,5135,20049,1834,1155,529,150,19,74.2,6.8,34.8,9.1,25.6,35.7,280,8.2,28.8,649,4162.8,149,839,1031,2159,1480,879,6388,23270,1490,2258,86.1,5.5,8.4
20070101_38038_D10,38038,20918,40.6,10166,10752,105.8,20272,646,3.1,2513,15428,2977,1840,937,200,12,73.8,14.2,35.6,19.3,16.3,118.5,84.4,6.7,31.5,124.2,16844.2,520.2,376,485,1021,843,489,3214,18157,1481,1280,86.8,7.1,6.1
20070101_38038_D09,38038,21050,40.8,10272,10778,104.9,20331,719,3.4,2805,14688,3557,1835,1338,384,13.3,69.8,16.9,43.3,24.2,19.1,126.8,78.9,10.8,37.6,368,5720.4,195.4,453,546,1148,880,506,3533,18866,952,1232,89.6,4.5,5.9
20070101_38038_D08,38038,1488,46.7,783,705,90,1469,19,1.3,132,969,387,217,117,53,8.9,65.1,26,53.6,39.9,13.6,293.2,34.1,13.7,30.2,5133.1,29,0.4,20,22,56,42,25,165,1431,21,36,96.2,1.4,2.4
20070101_38038_D07,38038,12485,41.2,6218,6267,100.8,12147,338,2.7,1460,8993,2032,1168,676,188,11.7,72,16.3,38.8,22.6,16.2,139.2,71.9,9.3,33.3,6831.8,182.7,4.9,234,268,579,507,291,1879,11386,528,571,91.2,4.2,4.6
20070101_38038_D06,38038,35103,41,16882,18221,107.9,33054,2049,5.8,4171,25720,5212,2914,1742,556,11.9,73.3,14.8,36.5,20.3,16.2,125,80,10.7,33.4,217.1,16168.4,943.8,585,748,1755,1443,905,5436,27242,3989,3872,77.6,11.4,11
20070101_38038_D05,38038,21459,42.7,9882,11577,117.2,19670,1789,8.3,2411,15095,3953,1913,1479,561,11.2,70.3,18.4,42.2,26.2,16,164,61,14.2,37.4,129.7,16545.1,1379.3,377,482,947,784,482,3072,15453,3058,2948,72,14.3,13.7
20070101_38038_D04,38038,15031,42.6,7223,7808,108.1,14009,1022,6.8,1799,10259,2973,1629,1030,314,12,68.3,19.8,46.5,29,17.5,165.3,60.5,10.6,34.6,103.9,14470.7,983.9,255,338,719,630,378,2320,12739,698,1594,84.8,4.6,10.6
20070101_38038_D03,38038,23681,40.6,11299,12382,109.6,21318,2363,10,2945,17153,3583,1919,1235,429,12.4,72.4,15.1,38.1,20.9,17.2,121.7,82.2,12,34.5,390.4,6065.1,605.2,507,584,1174,920,520,3705,15554,4362,3765,65.7,18.4,15.9
20070101_38038_D02,38038,11634,42.3,5468,6166,112.8,10473,1161,10,1316,8344,1974,968,728,278,11.3,71.7,17,39.4,23.7,15.8,150,66.7,14.1,36.9,81.7,14241.1,1421.2,215,221,510,450,243,1639,7669,2125,1840,65.9,18.3,15.8
20070101_38038_D01,38038,16564,41.6,7772,8792,113.1,15357,1207,7.3,2098,11877,2589,1379,863,347,12.7,71.7,15.6,39.5,21.8,17.7,123.4,81,13.4,33.3,219.4,7550.2,550.2,326,412,868,645,304,2555,11270,3178,2116,68,19.2,12.8
20070101_38037_D03,38037,7203,40.4,3516,3687,104.9,6888,315,4.4,1007,5050,1146,614,374,158,14,70.1,15.9,42.6,22.7,19.9,113.8,87.9,13.8,32.6,4221.8,170.6,7.5,154,176,435,321,152,1238,6259,340,604,86.9,4.7,8.4
20070101_38037_D02,38037,5527,40.8,2700,2827,104.7,5245,282,5.1,789,3820,918,474,342,102,14.3,69.1,16.6,44.7,24,20.7,116.3,85.9,11.1,37.3,43.8,12616.1,643.7,129,146,314,266,118,973,4556,408,563,82.4,7.4,10.2
