GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población. Índice feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Población. Índice de vejez,Población. Índice de juventud,poblacion_indice_sobreenvejecimiento,Población. Índice de ancianidad,Superficie calculada (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20040101_35001_D01,5511,40.2,2816,2695,95.7,5307,204,3.7,785,3824,902,528,275,99,14.2,69.4,16.4,44.1,23.6,20.5,114.9,87,11,30.5,4452.6,123.8,4.6,155,132,307,261,120,975,5053,217,241,91.7,3.9,4.4
20040101_35002_D01,24460,34.3,12621,11839,93.8,22626,1834,7.5,4479,18009,1972,1306,536,130,18.3,73.6,8.1,35.8,11,24.9,44,227.1,6.6,27.2,7877.6,310.5,23.3,914,891,1758,1244,605,5412,20934,1358,2168,85.6,5.6,8.9
20040101_35003_D01,6853,34.3,3883,2970,76.5,4958,1895,27.7,1064,5373,416,257,123,36,15.5,78.4,6.1,27.5,7.7,19.8,39.1,255.8,8.7,29.6,24956.1,27.5,7.6,182,220,440,298,129,1269,3418,1393,2042,49.9,20.3,29.8
20040101_35004_D01,21034,35.1,10627,10407,97.9,16881,4153,19.7,3509,15741,1784,960,587,237,16.7,74.8,8.5,33.6,11.3,22.3,50.8,196.7,13.3,32.9,407.7,5158.8,1018.6,738,668,1379,975,571,4331,12672,3905,4457,60.2,18.6,21.2
20040101_35004_D02,30599,33.2,15776,14823,94,25806,4793,15.7,5608,23015,1976,1273,550,153,18.3,75.2,6.5,33,8.6,24.4,35.2,283.8,7.7,27.8,2001.7,1528.7,239.4,1176,1099,2182,1546,804,6807,20915,4479,5205,68.4,14.6,17
20040101_35005_D01,1469,42.3,771,698,90.5,1459,10,0.7,132,1062,275,166,89,20,9,72.3,18.7,38.3,25.9,12.4,208.3,48,7.3,32.4,6641.7,22.1,0.2,17,22,56,49,32,176,1415,28,26,96.3,1.9,1.8
20040101_35006_D01,6631,38.3,3252,3379,103.9,6545,86,1.3,1057,4651,923,553,273,97,15.9,70.1,13.9,42.6,19.8,22.7,87.3,114.5,10.5,29.6,228.1,2907.3,37.7,205,191,412,329,177,1314,6194,262,175,93.4,4,2.6
20040101_35006_D02,3221,39.7,1605,1616,100.7,3207,14,0.4,475,2204,542,380,129,33,14.7,68.4,16.8,46.1,24.6,21.6,114.1,87.6,6.1,23.8,332.7,968.3,4.2,71,87,210,141,70,579,3145,44,32,97.6,1.4,1
20040101_35006_D03,4604,39,2300,2304,100.2,4532,72,1.6,665,3257,682,446,186,50,14.4,70.7,14.8,41.4,20.9,20.4,102.6,97.5,7.3,27.3,447.3,1029.4,16.1,135,112,267,208,113,835,4357,128,119,94.6,2.8,2.6
20040101_35006_D04,4639,37.3,2370,2269,95.7,4562,77,1.7,763,3322,554,317,186,51,16.4,71.6,11.9,39.6,16.7,23,72.6,137.7,9.2,33.6,672,690.3,11.5,141,182,310,181,103,917,4326,189,124,93.3,4.1,2.7
20040101_35006_D05,8855,35.2,4450,4405,99,8781,74,0.8,1681,6336,838,539,245,54,19,71.6,9.5,39.8,13.2,26.5,49.9,200.6,6.4,29.2,491.5,1801.7,15.1,304,339,687,468,213,2011,8459,208,188,95.5,2.3,2.1
20040101_35006_D06,3672,36.4,1895,1777,93.8,3613,59,1.6,642,2668,362,223,117,22,17.5,72.7,9.9,37.6,13.6,24.1,56.4,177.3,6.1,32.3,729.9,503.1,8.1,150,135,238,152,80,755,3361,195,116,91.5,5.3,3.2
20040101_35006_D07,2079,39.6,1086,993,91.4,2063,16,0.8,317,1431,331,212,96,23,15.2,68.8,15.9,45.3,23.1,22.2,104.4,95.8,6.9,29,373.6,556.4,4.3,59,47,144,93,39,382,2013,31,35,96.8,1.5,1.7
20040101_35007_D01,749,41.3,378,371,98.1,672,77,10.3,96,520,133,60,48,25,12.8,69.4,17.8,44,25.6,18.5,138.5,72.2,18.8,36.1,10330.9,7.3,0.7,15,14,50,30,13,122,648,24,77,86.5,3.2,10.3
20040101_35008_D01,2625,37.5,1327,1298,97.8,2597,28,1.1,475,1792,358,220,91,47,18.1,68.3,13.6,46.5,20,26.5,75.4,132.7,13.1,25.4,453.1,579.4,6.2,83,94,186,151,64,578,2510,71,44,95.6,2.7,1.7
20040101_35008_D02,1082,39.2,548,534,97.4,1065,17,1.6,151,787,144,94,32,18,14,72.7,13.3,37.5,18.3,19.2,95.4,104.9,12.5,22.2,476.7,227,3.6,27,30,68,45,20,190,1031,29,22,95.3,2.7,2
20040101_35008_D03,1383,40.8,707,676,95.6,1370,13,0.9,178,970,235,147,70,18,12.9,70.1,17,42.6,24.2,18.4,132,75.7,7.7,29.8,271.9,508.7,4.8,30,38,65,61,34,228,1336,22,25,96.6,1.6,1.8
20040101_35008_D04,1970,38,1021,949,92.9,1946,24,1.2,309,1428,233,142,68,23,15.7,72.5,11.8,38,16.3,21.6,75.4,132.6,9.9,29.2,401.1,491.1,6,51,57,120,106,57,391,1874,57,39,95.1,2.9,2
20040101_35009_D01,22992,38.3,11536,11456,99.3,22795,197,0.9,3546,16222,3224,2017,895,312,15.4,70.6,14,41.7,19.9,21.9,90.9,110,9.7,27.8,6241.9,368.3,3.2,567,554,1538,1200,555,4414,22268,397,327,96.9,1.7,1.4
20040101_35010_D01,4747,40,2447,2300,94,4128,619,13,727,3288,732,425,214,93,15.3,69.3,15.4,44.4,22.3,22.1,100.7,99.3,12.7,29.2,10634.5,44.6,5.8,139,147,304,188,85,863,3631,441,675,76.5,9.3,14.2
20040101_35011_D01,9496,34.6,4784,4712,98.5,9270,226,2.4,1739,6905,852,547,245,60,18.3,72.7,9,37.5,12.3,25.2,49,204.1,7,28.8,2496.7,380.3,9.1,285,326,704,582,291,2188,8941,273,282,94.2,2.9,3
20040101_35011_D02,4852,37.1,2467,2385,96.7,4762,90,1.9,763,3509,580,368,157,55,15.7,72.3,12,38.3,16.5,21.7,76,131.6,9.5,27.1,196.4,2470.7,45.8,137,141,305,255,119,957,4615,118,119,95.1,2.4,2.5
20040101_35011_D03,12509,34.6,6396,6113,95.6,11789,720,5.8,2223,9193,1093,730,286,77,17.8,73.5,8.7,36.1,11.9,24.2,49.2,203.4,7,26.2,1207.9,1035.6,59.6,448,417,872,658,315,2710,11254,412,843,90,3.3,6.7
20040101_35012_D01,15176,36.1,8109,7067,87.2,11060,4116,27.1,2563,11228,1385,918,361,106,16.9,74,9.1,35.2,12.3,22.8,54,185.1,7.7,26.1,17131.6,88.6,24,349,569,1091,734,374,3117,9435,1386,4355,62.2,9.1,28.7
20040101_35013_D01,7825,41.8,3973,3852,97,7781,44,0.6,834,5621,1370,821,419,130,10.7,71.8,17.5,39.2,24.4,14.8,164.3,60.9,9.5,30.6,3219.3,243.1,1.4,49,98,449,330,181,1107,7560,140,125,96.6,1.8,1.6
20040101_35014_D01,15583,33.2,8452,7131,84.4,11049,4534,29.1,2718,12006,859,552,226,81,17.4,77,5.5,29.8,7.2,22.6,31.6,316.4,9.4,26.3,35657.6,43.7,12.7,616,547,1043,685,308,3199,6932,3814,4837,44.5,24.5,31
20040101_35015_D01,1468,35.5,759,709,93.4,1428,40,2.7,264,1054,150,76,58,16,18,71.8,10.2,39.3,14.2,25,56.8,176,10.7,38.7,10899.3,13.5,0.4,44,53,113,69,41,320,1329,83,56,90.5,5.7,3.8
20040101_35015_D02,5306,34.1,3049,2257,74,3340,1966,37.1,682,4367,257,200,40,17,12.9,82.3,4.8,21.5,5.9,15.6,37.7,265.4,6.6,15.6,11807.9,44.9,16.6,170,135,234,178,71,788,1455,1779,2072,27.4,33.5,39.1
20040101_35015_D03,1408,34.3,898,510,56.8,879,529,37.6,52,1326,30,22,7,1,3.7,94.2,2.1,6.2,2.3,3.9,57.7,173.3,3.3,23.3,7655.5,18.4,6.9,16,7,21,10,7,61,148,701,559,10.5,49.8,39.7
20040101_35015_D04,8639,31.6,4784,3855,80.6,6575,2064,23.9,1375,7035,229,164,51,14,15.9,81.4,2.7,22.8,3.3,19.5,16.7,600.4,6.1,22.3,8074.9,107,25.6,286,295,510,385,176,1652,3379,2995,2265,39.1,34.7,26.2
