GEOCODE_MALLA_2010,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN094200E191875,53,44.5,32,21,65.6,40,13,24.5,4,45,4,7.5,84.9,7.5,17.8,17.8,17.8,100,100,6.2,848,208,8,31,14,15.1,58.5,26.4
250mN094225E191800,177,35.4,103,74,71.8,71,106,59.9,19,154,4,10.7,87,2.3,14.9,14.9,14.9,21.1,475,6.2,2832,1696,44,35,98,24.9,19.8,55.4
250mN094225E191825,140,32.9,81,59,72.8,38,102,72.9,23,114,3,16.4,81.4,2.1,22.8,22.8,22.8,13,766.7,6.2,2240,1632,24,18,98,17.1,12.9,70
250mN094225E191850,659,36.3,354,305,86.2,342,317,48.1,82,548,29,12.4,83.2,4.4,20.3,20.3,20.3,35.4,282.8,6.2,10544,5072,146,169,344,22.2,25.6,52.2
250mN094225E191875,160,42.3,87,73,83.9,60,100,62.5,20,115,25,12.5,71.9,15.6,39.1,39.1,39.1,125,80,6.2,2560,1600,26,30,104,16.2,18.8,65
250mN094225E191900,35,37,16,19,118.8,14,21,60,,32,,,91.4,,,,,,,6.2,560,336,7,6,22,20,17.1,62.9
250mN094225E191925,111,40.7,58,53,91.4,71,40,36,6,102,3,5.4,91.9,2.7,8.8,8.8,8.8,50,200,6.2,1776,640,20,48,43,18,43.2,38.7
250mN094225E191950,10,47.4,6,4,66.7,,,,,8,,,80,,,,,,,6.2,160,,,,8,,,80
250mN094250E191750,213,33.4,111,102,91.9,121,92,43.2,26,182,5,12.2,85.4,2.3,17,17,17,19.2,520,6.2,3413.5,1474.4,19,92,102,8.9,43.2,47.9
250mN094250E191775,101,43.7,52,49,94.2,28,73,72.3,7,77,17,6.9,76.2,16.8,31.2,31.2,31.2,242.9,41.2,6.2,1616,1168,12,14,75,11.9,13.9,74.3
250mN094250E191825,40,32.4,19,21,110.5,19,21,52.5,,31,,,77.5,,,,,,,6.2,640,336,15,6,19,37.5,15,47.5
250mN094250E191850,18,31.9,10,8,80,,,,4,14,0,22.2,77.8,0,28.6,28.6,28.6,0,,6.2,288,,16,,,88.9,,
250mN094250E191875,17,41.6,10,7,70,14,3,17.6,,16,,,94.1,,,,,,,6.2,272,48,12,,,70.6,,
250mN094250E192050,202,40.6,134,68,50.7,64,138,68.3,4,195,3,2,96.5,1.5,3.6,3.6,3.6,75,133.3,6.2,3252.2,2221.8,18,42,142,8.9,20.8,70.3
250mN094275E191650,64,43.9,29,35,120.7,43,21,32.8,4,50,10,6.2,78.1,15.6,28,28,28,250,40,1.9,3308,1085.4,37,4,23,57.8,6.2,35.9
250mN094275E191675,497,38.6,269,228,84.8,351,146,29.4,55,392,50,11.1,78.9,10.1,26.8,26.8,26.8,90.9,110,3.7,13529.7,3974.5,256,88,153,51.5,17.7,30.8
250mN094275E191700,336,37.8,173,163,94.2,186,150,44.6,32,275,29,9.5,81.8,8.6,22.2,22.2,22.2,90.6,110.3,5.4,6186.9,2762,102,74,160,30.4,22,47.6
250mN094275E191725,411,35.3,206,205,99.5,157,254,61.8,52,350,9,12.7,85.2,2.2,17.4,17.4,17.4,17.3,577.8,6.2,6576,4064,89,61,261,21.7,14.8,63.5
250mN094275E191750,47,52.5,24,23,95.8,10,37,78.7,0,36,11,0,76.6,23.4,30.6,30.6,30.6,,0,6.2,752,592,5,3,39,10.6,6.4,83
250mN094275E192000,18,34.8,8,10,125,12,6,33.3,0,18,0,0,100,0,0,0,0,,,6.2,288,96,0,11,7,0,61.1,38.9
250mN094300E191625,19,36.7,9,10,111.1,15,4,21.1,,16,,,84.2,,,,,,,4.2,447.2,94.1,9,6,4,47.4,31.6,21.1
250mN094300E191650,642,34.2,331,311,94,381,261,40.7,110,514,18,17.1,80.1,2.8,24.9,24.9,24.9,16.4,611.1,6.2,10272,4176,259,114,269,40.3,17.8,41.9
250mN094300E191675,1052,35.3,569,483,84.9,585,467,44.4,158,846,48,15,80.4,4.6,24.3,24.3,24.3,30.4,329.2,6.2,16832,7472,418,166,468,39.7,15.8,44.5
250mN094300E191700,785,34.9,423,362,85.6,451,334,42.5,117,628,40,14.9,80,5.1,25,25,25,34.2,292.5,6.2,12560,5344,280,151,354,35.7,19.2,45.1
250mN094300E191725,15,34.9,7,8,114.3,12,3,20,,13,,,86.7,,,,,,,6.2,240,48,6,5,4,40,33.3,26.7
250mN094300E191925,48,35.1,25,23,92,29,19,39.6,,47,,,97.9,,,,,,,6.2,768,304,3,23,22,6.2,47.9,45.8
250mN094300E192000,17,42.7,13,4,30.8,8,9,52.9,,14,,,82.4,,,,,,,6.2,272,144,5,5,7,29.4,29.4,41.2
250mN094300E192025,55,28.8,22,33,150,42,13,23.6,,39,,,70.9,,,,,,,6.2,880,208,14,24,17,25.5,43.6,30.9
250mN094300E192050,35,37.9,16,19,118.8,20,15,42.9,4,28,3,11.4,80,8.6,25,25,25,75,133.3,6.2,560,240,6,8,21,17.1,22.9,60
250mN094325E191625,35,35.3,21,14,66.7,19,16,45.7,,29,,,82.9,,,,,,,6.2,560,256,12,6,17,34.3,17.1,48.6
250mN094325E191675,862,32.7,484,378,78.1,455,407,47.2,154,670,38,17.9,77.7,4.4,28.7,28.7,28.7,24.7,405.3,6.2,13792,6512,315,146,401,36.5,16.9,46.5
250mN094325E191700,108,35,69,39,56.5,54,54,50,11,94,3,10.2,87,2.8,14.9,14.9,14.9,27.3,366.7,6.2,1728,864,43,15,50,39.8,13.9,46.3
250mN094325E192125,15,30.8,10,5,50,3,12,80,,13,,,86.7,,,,,,,6.2,240,192,0,3,12,0,20,80
250mN094350E191675,189,33.1,99,90,90.9,70,119,63,,162,,,85.7,,,,,,,6.2,3024,1904,46,34,109,24.3,18,57.7
250mN094350E191700,89,36.8,52,37,71.2,67,22,24.7,7,78,4,7.9,87.6,4.5,14.1,14.1,14.1,57.1,175,6.2,1424,352,44,16,29,49.4,18,32.6
250mN094375E191675,454,31.9,242,212,87.6,328,126,27.8,96,344,14,21.1,75.8,3.1,32,32,32,14.6,685.7,6.2,7264,2016,216,89,149,47.6,19.6,32.8
250mN094375E191700,675,31.9,352,323,91.8,519,156,23.1,126,532,17,18.7,78.8,2.5,26.9,26.9,26.9,13.5,741.2,6.2,10800,2496,394,122,159,58.4,18.1,23.6
250mN094375E191875,12,38.1,4,8,200,4,8,66.7,0,12,0,0,100,0,0,0,0,,,6.2,192,128,,,9,,,75
250mN094375E191900,16,35.1,8,8,100,10,6,37.5,,13,,,81.2,,,,,,,6.2,256,96,6,3,7,37.5,18.8,43.8
250mN094375E192175,12,34.8,7,5,71.4,4,8,66.7,,11,,,91.7,,,,,,,6.2,192,128,0,4,8,0,33.3,66.7
250mN094400E191675,333,31,168,165,98.2,282,51,15.3,84,238,11,25.2,71.5,3.3,39.9,39.9,39.9,13.1,763.6,6.2,5328,816,167,98,68,50.2,29.4,20.4
250mN094400E191700,406,31.4,206,200,97.1,285,121,29.8,78,320,8,19.2,78.8,2,26.9,26.9,26.9,10.3,975,6.2,6496,1936,203,72,131,50,17.7,32.3
250mN094400E192175,13,37.6,8,5,62.5,8,5,38.5,0,13,0,0,100,0,0,0,0,,,6.2,208,80,,8,,,61.5,
250mN094400E192250,24,51.7,16,8,50,9,15,62.5,0,14,10,0,58.3,41.7,71.4,71.4,71.4,,0,6.2,384,240,,,15,,,62.5
250mN094400E192275,10,50.8,6,4,66.7,,,,,8,,,80,,,,,,,5.1,196.4,,,,8,,,80
250mN094425E191675,482,27.1,256,226,88.3,376,106,22,160,316,6,33.2,65.6,1.2,52.5,52.5,52.5,3.8,2666.7,6.2,7712,1696,283,80,119,58.7,16.6,24.7
250mN094425E191700,234,31.2,126,108,85.7,182,52,22.2,59,171,4,25.2,73.1,1.7,36.8,36.8,36.8,6.8,1475,6.2,3744,832,110,72,52,47,30.8,22.2
250mN094425E192175,361,35.9,197,164,83.2,95,266,73.7,9,345,7,2.5,95.6,1.9,4.6,4.6,4.6,77.8,128.6,6.2,5776,4256,23,60,278,6.4,16.6,77
250mN094425E192250,332,36.4,170,162,95.3,176,156,47,36,279,17,10.8,84,5.1,19,19,19,47.2,211.8,6.2,5312,2496,73,90,169,22,27.1,50.9
250mN094425E192275,34,46.5,15,19,126.7,10,24,70.6,3,24,7,8.8,70.6,20.6,41.7,41.7,41.7,233.3,42.9,6.2,544,384,6,3,25,17.6,8.8,73.5
250mN094450E191675,214,29,106,108,101.9,185,29,13.6,59,148,7,27.6,69.2,3.3,44.6,44.6,44.6,11.9,842.9,6.2,3424,464,132,45,37,61.7,21,17.3
250mN094450E191700,68,35.7,40,28,70,48,20,29.4,8,57,3,11.8,83.8,4.4,19.3,19.3,19.3,37.5,266.7,6.2,1088,320,27,16,25,39.7,23.5,36.8
250mN094575E192550,30,37.2,15,15,100,12,18,60,,24,,,80,,,,,,,6.2,480,288,8,5,17,26.7,16.7,56.7
250mN094675E192700,10,54.5,6,4,66.7,,,,0,6,4,0,60,40,66.7,66.7,66.7,,0,6.2,160,,,,9,,,90
250mN094875E179000,31,42.2,16,15,93.8,9,22,71,0,25,6,0,80.6,19.4,24,24,24,,0,6.2,496,352,6,0,25,19.4,0,80.6
250mN094925E178950,14,43.9,9,5,55.6,6,8,57.1,,13,,,92.9,,,,,,,6.2,224,128,4,0,10,28.6,0,71.4
250mN094925E179200,60,58.1,39,21,53.8,16,44,73.3,0,33,27,0,55,45,81.8,81.8,81.8,,0,6.2,960,704,8,6,46,13.3,10,76.7
250mN094925E179225,38,64.7,18,20,111.1,,,,0,16,22,0,42.1,57.9,137.5,137.5,137.5,,0,6.2,608,,,,36,,,94.7
250mN094950E179200,172,52.7,95,77,81.1,40,132,76.7,7,99,66,4.1,57.6,38.4,73.7,73.7,73.7,942.9,10.6,6.2,2752,2112,25,7,140,14.5,4.1,81.4
250mN094950E179225,47,56.8,25,22,88,13,34,72.3,3,23,21,6.4,48.9,44.7,104.3,104.3,104.3,700,14.3,6.2,752,544,8,4,35,17,8.5,74.5
250mN094950E179250,46,58.2,27,19,70.4,13,33,71.7,,24,,,52.2,,,,,,,6.2,736,528,15,0,31,32.6,0,67.4
250mN094975E178925,35,33.7,19,16,84.2,28,7,20,9,23,3,25.7,65.7,8.6,52.2,52.2,52.2,33.3,300,6.2,560,112,19,8,8,54.3,22.9,22.9
250mN094975E179175,26,58.8,15,11,73.3,6,20,76.9,,,13,,,50,,,,,,6.2,416,320,,,20,,,76.9
250mN094975E179200,225,53.7,130,95,73.1,58,167,74.2,8,134,83,3.6,59.6,36.9,67.9,67.9,67.9,1037.5,9.6,6.2,3600,2672,35,19,171,15.6,8.4,76
250mN094975E179225,114,50.1,68,46,67.6,47,67,58.8,7,76,31,6.1,66.7,27.2,50,50,50,442.9,22.6,6.2,1824,1072,39,7,68,34.2,6.1,59.6
250mN094975E179250,102,55.9,53,49,92.5,20,82,80.4,,64,,,62.7,,,,,,,6.2,1632,1312,10,9,83,9.8,8.8,81.4
250mN094975E179275,54,67.1,28,26,92.9,12,42,77.8,0,16,38,0,29.6,70.4,237.5,237.5,237.5,,0,6.2,864,672,8,3,43,14.8,5.6,79.6
250mN094975E190325,10,42.2,5,5,100,10,0,0,,7,,,70,,,,,,,3.9,255.5,0,10,0,0,100,0,0
250mN094975E190350,12,47.5,6,6,100,,,,,7,,,58.3,,,,,,,4.4,271.7,,9,,,75,,
250mN094975E193075,14,50.9,8,6,75,4,10,71.4,,12,,,85.7,,,,,,,6.2,224,160,0,4,10,0,28.6,71.4
250mN094975E193100,72,39.9,47,25,53.2,33,39,54.2,,58,,,80.6,,,,,,,6.2,1152,624,7,22,43,9.7,30.6,59.7
250mN094975E195150,11,37.5,6,5,83.3,,,,,9,,,81.8,,,,,,,4,273.4,,5,,,45.5,,
250mN094975E195175,12,31.2,6,6,100,12,0,0,,7,,,58.3,,,,,,,5.6,214.1,0,9,3,0,75,25,0
250mN094975E195200,17,40.7,7,10,142.9,13,4,23.5,,14,,,82.4,,,,,,,6.2,272,64,11,,,64.7,,
250mN094975E195225,904,35.8,449,455,101.3,798,106,11.7,155,676,73,17.1,74.8,8.1,33.7,33.7,33.7,47.1,212.3,6.2,14464,1696,709,78,117,78.4,8.6,12.9
250mN094975E195250,675,39.2,345,330,95.7,526,149,22.1,96,494,85,14.2,73.2,12.6,36.6,36.6,36.6,88.5,112.9,5.5,12253.6,2704.9,429,90,156,63.6,13.3,23.1
