GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN094200E191875,15,50.4,9,6,66.7,15,0,0,,14,,,93.3,,,,,,,6.2,240,0,,14,,,93.3,
250mN094225E191800,191,39,104,87,83.7,92,99,51.8,21,152,18,11,79.6,9.4,25.7,25.7,25.7,85.7,116.7,6.2,3056,1584,53,29,109,27.7,15.2,57.1
250mN094225E191825,73,35.6,39,34,87.2,43,30,41.1,17,49,7,23.3,67.1,9.6,49,49,49,41.2,242.9,6.2,1168,480,21,15,37,28.8,20.5,50.7
250mN094225E191850,684,37.7,352,332,94.3,387,297,43.4,74,579,31,10.8,84.6,4.5,18.1,18.1,18.1,41.9,238.7,6.2,10944,4752,163,173,348,23.8,25.3,50.9
250mN094225E191875,125,41.3,73,52,71.2,69,56,44.8,13,96,16,10.4,76.8,12.8,30.2,30.2,30.2,123.1,81.2,6.2,2000,896,31,30,64,24.8,24,51.2
250mN094225E191900,28,41.6,14,14,100,11,17,60.7,3,21,4,10.7,75,14.3,33.3,33.3,33.3,133.3,75,6.2,448,272,6,4,18,21.4,14.3,64.3
250mN094225E191925,74,43.1,34,40,117.6,49,25,33.8,9,55,10,12.2,74.3,13.5,34.5,34.5,34.5,111.1,90,6.2,1184,400,18,28,28,24.3,37.8,37.8
250mN094250E191750,138,36.2,72,66,91.7,99,39,28.3,27,104,7,19.6,75.4,5.1,32.7,32.7,32.7,25.9,385.7,6.2,2211.5,625,23,54,61,16.7,39.1,44.2
250mN094250E191775,49,47.2,29,20,69,18,31,63.3,4,34,11,8.2,69.4,22.4,44.1,44.1,44.1,275,36.4,6.2,784,496,4,10,35,8.2,20.4,71.4
250mN094250E191825,31,32.9,12,19,158.3,18,13,41.9,,22,,,71,,,,,,,6.2,496,208,11,5,15,35.5,16.1,48.4
250mN094250E191850,20,38.8,9,11,122.2,16,4,20,3,17,0,15,85,0,17.6,17.6,17.6,0,,6.2,320,64,15,0,5,75,0,25
250mN094250E191875,20,47,13,7,53.8,,,,,18,,,90,,,,,,,6.2,320,,12,,,60,,
250mN094250E192050,107,40.1,67,40,59.7,50,57,53.3,5,99,3,4.7,92.5,2.8,8.1,8.1,8.1,60,166.7,6.2,1722.7,917.7,17,27,63,15.9,25.2,58.9
250mN094275E191650,43,44.2,20,23,115,35,8,18.6,5,32,6,11.6,74.4,14,34.4,34.4,34.4,120,83.3,1.9,2222.6,413.5,32,4,7,74.4,9.3,16.3
250mN094275E191675,400,42.1,205,195,95.1,309,91,22.8,51,287,62,12.8,71.8,15.5,39.4,39.4,39.4,121.6,82.3,3.7,10889.1,2477.3,227,66,107,56.8,16.5,26.8
250mN094275E191700,378,37,195,183,93.8,183,195,51.6,31,316,31,8.2,83.6,8.2,19.6,19.6,19.6,100,100,5.4,6960.3,3590.6,86,64,228,22.8,16.9,60.3
250mN094275E191725,379,33.5,173,206,119.1,154,225,59.4,47,320,12,12.4,84.4,3.2,18.4,18.4,18.4,25.5,391.7,6.2,6064,3600,86,46,247,22.7,12.1,65.2
250mN094275E191750,30,52.9,14,16,114.3,6,24,80,,23,,,76.7,,,,,,,6.2,480,384,,,26,,,86.7
250mN094300E191625,13,48.7,9,4,44.4,8,5,38.5,,8,,,61.5,,,,,,,4.2,306,117.7,5,3,5,38.5,23.1,38.5
250mN094300E191650,582,36.2,292,290,99.3,403,179,30.8,89,463,30,15.3,79.6,5.2,25.7,25.7,25.7,33.7,296.7,6.2,9312,2864,257,123,202,44.2,21.1,34.7
250mN094300E191675,1031,36.9,522,509,97.5,681,350,33.9,160,794,77,15.5,77,7.5,29.8,29.8,29.8,48.1,207.8,6.2,16496,5600,409,216,406,39.7,21,39.4
250mN094300E191700,821,35.7,425,396,93.2,568,253,30.8,154,610,57,18.8,74.3,6.9,34.6,34.6,34.6,37,270.2,6.2,13136,4048,349,172,300,42.5,21,36.5
250mN094300E191725,10,39.3,4,6,150,,,,,7,,,70,,,,,,,6.2,160,,4,3,3,40,30,30
250mN094300E191925,71,32.8,38,33,86.8,42,29,40.8,,70,,,98.6,,,,,,,6.2,1136,464,3,34,34,4.2,47.9,47.9
250mN094300E192000,15,39.4,11,4,36.4,12,3,20,,11,,,73.3,,,,,,,6.2,240,48,6,5,4,40,33.3,26.7
250mN094300E192025,69,31.1,25,44,176,49,20,29,,55,,,79.7,,,,,,,6.2,1104,320,16,27,26,23.2,39.1,37.7
250mN094300E192050,64,38.6,35,29,82.9,32,32,50,7,50,7,10.9,78.1,10.9,28,28,28,100,100,6.2,1024,512,10,16,38,15.6,25,59.4
250mN094325E191625,30,35,18,12,66.7,20,10,33.3,7,23,0,23.3,76.7,0,30.4,30.4,30.4,0,,6.2,480,160,14,4,12,46.7,13.3,40
250mN094325E191675,735,34.6,399,336,84.2,453,282,38.4,151,544,40,20.5,74,5.4,35.1,35.1,35.1,26.5,377.5,6.2,11760,4512,286,119,330,38.9,16.2,44.9
250mN094325E191700,121,33.5,69,52,75.4,67,54,44.6,26,85,10,21.5,70.2,8.3,42.4,42.4,42.4,38.5,260,6.2,1936,864,60,11,50,49.6,9.1,41.3
250mN094350E191675,189,33.1,106,83,78.3,117,72,38.1,39,144,6,20.6,76.2,3.2,31.2,31.2,31.2,15.4,650,6.2,3024,1152,65,46,78,34.4,24.3,41.3
250mN094350E191700,70,34.9,39,31,79.5,51,19,27.1,14,51,5,20,72.9,7.1,37.3,37.3,37.3,35.7,280,6.2,1120,304,45,4,21,64.3,5.7,30
250mN094350E191900,11,46.4,5,6,120,8,3,27.3,0,8,3,0,72.7,27.3,37.5,37.5,37.5,,0,6.2,176,48,0,6,5,0,54.5,45.5
250mN094375E191675,510,33.5,247,263,106.5,401,109,21.4,107,382,21,21,74.9,4.1,33.5,33.5,33.5,19.6,509.5,6.2,8160,1744,226,116,168,44.3,22.7,32.9
250mN094375E191700,747,34.7,386,361,93.5,618,129,17.3,117,601,29,15.7,80.5,3.9,24.3,24.3,24.3,24.8,403.4,6.2,11952,2064,415,165,167,55.6,22.1,22.4
250mN094375E191875,86,34.4,43,43,100,58,28,32.6,,70,,,81.4,,,,,,,6.2,1376,448,25,21,40,29.1,24.4,46.5
250mN094375E191900,11,38,6,5,83.3,5,6,54.5,,9,,,81.8,,,,,,,6.2,176,96,4,0,7,36.4,0,63.6
250mN094400E191675,432,31,216,216,100,363,69,16,113,309,10,26.2,71.5,2.3,39.8,39.8,39.8,8.8,1130,6.2,6912,1104,227,95,110,52.5,22,25.5
250mN094400E191700,462,33.5,237,225,94.9,356,106,22.9,84,365,13,18.2,79,2.8,26.6,26.6,26.6,15.5,646.2,6.2,7392,1696,219,107,136,47.4,23.2,29.4
250mN094400E192250,17,31.3,11,6,54.5,6,11,64.7,,15,,,88.2,,,,,,,6.2,272,176,,,13,,,76.5
250mN094425E191675,599,30,313,286,91.4,526,73,12.2,169,414,16,28.2,69.1,2.7,44.7,44.7,44.7,9.5,1056.2,6.2,9584,1168,366,110,123,61.1,18.4,20.5
250mN094425E191700,221,33.9,117,104,88.9,182,39,17.6,44,173,4,19.9,78.3,1.8,27.7,27.7,27.7,9.1,1100,6.2,3536,624,107,61,53,48.4,27.6,24
250mN094425E192175,244,32.8,114,130,114,66,178,73,5,235,4,2,96.3,1.6,3.8,3.8,3.8,80,125,6.2,3904,2848,14,44,186,5.7,18,76.2
250mN094425E192250,347,36.8,169,178,105.3,206,141,40.6,58,271,18,16.7,78.1,5.2,28,28,28,31,322.2,6.2,5552,2256,86,102,159,24.8,29.4,45.8
250mN094425E192275,37,37.6,18,19,105.6,20,17,45.9,5,29,3,13.5,78.4,8.1,27.6,27.6,27.6,60,166.7,6.2,592,272,9,7,21,24.3,18.9,56.8
250mN094450E191675,277,30.4,143,134,93.7,239,38,13.7,72,198,7,26,71.5,2.5,39.9,39.9,39.9,9.7,1028.6,6.2,4432,608,160,62,55,57.8,22.4,19.9
250mN094450E191700,70,33.9,36,34,94.4,53,17,24.3,,64,,,91.4,,,,,,,6.2,1120,272,23,27,20,32.9,38.6,28.6
250mN094575E192550,23,36.8,12,11,91.7,19,4,17.4,5,15,3,21.7,65.2,13,53.3,53.3,53.3,60,166.7,6.2,368,64,,,12,,,52.2
250mN094875E179000,25,40.7,15,10,66.7,6,19,76,0,22,3,0,88,12,13.6,13.6,13.6,,0,6.2,400,304,4,0,21,16,0,84
250mN094925E179200,58,52.6,35,23,65.7,20,38,65.5,,35,,,60.3,,,,,,,6.2,928,608,12,3,43,20.7,5.2,74.1
250mN094925E179225,29,64.7,12,17,141.7,3,26,89.7,0,11,18,0,37.9,62.1,163.6,163.6,163.6,,0,6.2,464,416,4,0,25,13.8,0,86.2
250mN094950E179200,145,51.3,83,62,74.7,56,89,61.4,8,92,45,5.5,63.4,31,57.6,57.6,57.6,562.5,17.8,6.2,2320,1424,34,7,104,23.4,4.8,71.7
250mN094950E179225,26,59.2,15,11,73.3,14,12,46.2,,,13,,,50,,,,,,6.2,416,192,9,4,13,34.6,15.4,50
250mN094950E179250,27,61,16,11,68.8,12,15,55.6,,,14,,,51.9,,,,,,6.2,432,240,9,0,18,33.3,0,66.7
250mN094975E178925,41,37,20,21,105,38,3,7.3,10,25,6,24.4,61,14.6,64,64,64,60,166.7,6.2,656,48,28,6,7,68.3,14.6,17.1
250mN094975E179175,18,61.2,12,6,50,6,12,66.7,0,7,11,0,38.9,61.1,157.1,157.1,157.1,,0,6.2,288,192,,,11,,,61.1
250mN094975E179200,178,51.9,102,76,74.5,64,114,64,,123,,,69.1,,,,,,,6.2,2848,1824,29,20,129,16.3,11.2,72.5
250mN094975E179225,123,51.5,74,49,66.2,47,76,61.8,6,82,35,4.9,66.7,28.5,50,50,50,583.3,17.1,6.2,1968,1216,36,9,78,29.3,7.3,63.4
250mN094975E179250,101,54.8,52,49,94.2,30,71,70.3,,69,,,68.3,,,,,,,6.2,1616,1136,19,9,73,18.8,8.9,72.3
250mN094975E179275,28,63.3,18,10,55.6,8,20,71.4,0,9,19,0,32.1,67.9,211.1,211.1,211.1,,0,6.2,448,320,,,24,,,85.7
250mN094975E190350,20,46.9,11,9,81.8,,,,0,16,4,0,80,20,25,25,25,,0,4.4,452.8,,17,,,85,,
250mN094975E193075,13,49,8,5,62.5,3,10,76.9,,11,,,84.6,,,,,,,6.2,208,160,,,10,,,76.9
250mN094975E193100,47,38.4,30,17,56.7,23,24,51.1,,40,,,85.1,,,,,,,6.2,752,384,6,13,28,12.8,27.7,59.6
250mN094975E195150,24,43.8,12,12,100,17,7,29.2,,23,,,95.8,,,,,,,4,596.6,174,8,8,8,33.3,33.3,33.3
250mN094975E195175,27,37.9,14,13,92.9,18,9,33.3,,18,,,66.7,,,,,,,5.6,481.8,160.6,8,7,12,29.6,25.9,44.4
250mN094975E195200,104,28.8,42,62,147.6,79,25,24,36,62,6,34.6,59.6,5.8,67.7,67.7,67.7,16.7,600,6.2,1664,400,72,7,25,69.2,6.7,24
250mN094975E195225,928,37.3,468,460,98.3,820,108,11.6,150,689,89,16.2,74.2,9.6,34.7,34.7,34.7,59.3,168.5,6.2,14848,1728,707,80,141,76.2,8.6,15.2
250mN094975E195250,655,40.5,342,313,91.5,530,125,19.1,89,486,80,13.6,74.2,12.2,34.8,34.8,34.8,89.9,111.2,5.5,11890.5,2269.2,405,95,155,61.8,14.5,23.7
250mN094975E195275,140,38.3,81,59,72.8,100,40,28.6,22,100,18,15.7,71.4,12.9,40,40,40,81.8,122.2,3.9,3586.2,1024.6,64,26,50,45.7,18.6,35.7
250mN094975E195300,245,34.8,120,125,104.2,194,51,20.8,44,187,14,18,76.3,5.7,31,31,31,31.8,314.3,4.5,5410.5,1126.3,93,72,80,38,29.4,32.7
250mN095000E178875,190,41.9,105,85,81,67,123,64.7,24,149,17,12.6,78.4,8.9,27.5,27.5,27.5,70.8,141.2,4.5,4205.7,2722.6,39,26,125,20.5,13.7,65.8
250mN095000E178900,33,37.3,17,16,94.1,7,26,78.8,,27,,,81.8,,,,,,,6.2,528,416,,,27,,,81.8
250mN095000E179075,16,47.2,11,5,45.5,6,10,62.5,,15,,,93.8,,,,,,,6.2,256,160,,,10,,,62.5
250mN095000E179100,16,45.1,8,8,100,,,,,14,,,87.5,,,,,,,6.2,256,,11,,,68.8,,
250mN095000E179150,16,36.1,11,5,45.5,13,3,18.8,,11,,,68.8,,,,,,,6.2,256,48,9,0,7,56.2,0,43.8
