date,GEOCODE_MUNICIPIOS_ANTES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2007-01-01,35001,5710,41.058318739,41.057357015,2899,2811,96.964470507,5453,257,4.5008756567,782,3956,972,526,341,105,13.695271454,69.281961471,17.022767075,44.337714863,24.570273003,19.76744186,124.29667519,80.452674897,10.802469136,35.082304527,4451.160000,128.28116716,5.7737758247,159,164,268,257,123,971,5176,237,297,90.647985989,4.1506129597,5.2014010508
2007-01-01,35002,27310,34.911570853,34.911932884,13969,13341,95.504331019,25222,2088,7.6455510802,4993,20104,2213,1394,679,140,18.282680337,73.614060784,8.1032588795,35.843613211,11.00775965,24.835853561,44.322050871,225.62132851,6.3262539539,30.682331676,7889.720000,346.14663131,26.464817509,1088,1063,1911,1256,655,5973,23383,1424,2503,85.620651776,5.2142072501,9.165140974
2007-01-01,35003,9204,35.550738809,35.559749786,5074,4130,81.395348837,5861,3343,36.321164711,1368,7286,550,358,150,42,14.863102999,79.161234246,5.9756627553,26.324457864,7.5487235795,18.775734285,40.204678363,248.72727273,7.6363636364,27.272727273,25024.800000,36.779514721,13.358748122,304,265,551,339,179,1638,4057,1660,3487,44.078661452,18.03563668,37.885701869
2007-01-01,35004,56834,34.461150016,34.464186911,29360,27474,93.576294278,43802,13032,22.929936306,10043,42724,4067,2431,1248,388,17.67076046,75.17331175,7.1559277897,33.025933901,9.5192397716,23.50669413,40.495867769,246.93877551,9.5402016228,30.686009343,2427.540000,2341.2178584,536.83976371,2254,2100,3730,2612,1401,12097,34292,8243,14299,60.337122145,14.503642186,25.159235669
2007-01-01,35005,1300,44.994615385,45.006796188,696,604,86.781609195,1291,9,0.6923076923,99,934,267,137,108,22,7.6153846154,71.846153846,20.538461538,39.186295503,28.586723769,10.599571734,269.6969697,37.078651685,8.2397003745,40.449438202,6641.900000,19.572712627,0.1355033951,13,14,43,38,25,133,1260,21,19,96.923076923,1.6153846154,1.4615384615
2007-01-01,35006,35280,38.175907029,38.17565866,17715,17565,99.153259949,34859,421,1.1933106576,5743,25052,4485,2573,1555,357,16.278344671,71.009070295,12.712585034,40.827079674,17.902762255,22.92431742,78.095072262,128.0490524,7.9598662207,34.671125975,3283.870000,1074.3421634,12.820239534,1127,1166,2257,1588,788,6926,33193,1168,919,94.08446712,3.3106575964,2.6048752834
2007-01-01,35007,742,43.067385445,43.083960143,379,363,95.778364116,649,93,12.533692722,83,523,136,67,44,25,11.185983827,70.485175202,18.32884097,41.873804971,26.003824092,15.86998088,163.85542169,61.029411765,18.382352941,32.352941176,10370.900000,7.1546346026,0.8967399165,5,14,34,34,12,99,628,21,93,84.636118598,2.8301886792,12.533692722
2007-01-01,35008,7369,39.359818157,39.363332101,3758,3611,96.088344864,7244,125,1.6962952911,1125,5172,1072,649,324,99,15.26665762,70.185913964,14.547428416,42.478731632,20.726991493,21.751740139,95.288888889,104.94402985,9.2350746269,30.223880597,1602.780000,459.76366064,7.7989493255,233,205,451,316,188,1393,6978,198,193,94.693988329,2.6869317411,2.6190799294
2007-01-01,35009,23776,38.796307201,38.794498712,11959,11817,98.81260975,23479,297,1.2491588156,3728,16683,3365,1905,1157,303,15.679676985,70.167395693,14.152927322,42.516333993,20.170233171,22.346100821,90.262875536,110.78751857,9.0044576523,34.383358098,6254.510000,380.14168976,4.7485734294,730,674,1514,1123,575,4616,22916,396,464,96.382907133,1.6655450875,1.9515477793
2007-01-01,35010,5049,41.199940582,41.204552402,2635,2414,91.612903226,4240,809,16.022974847,731,3512,806,470,246,90,14.478114478,69.558328382,15.96355714,43.764236902,22.949886105,20.814350797,110.25991792,90.694789082,11.166253102,30.521091811,14565.300000,34.664579514,5.5542968562,142,133,292,208,100,875,3708,466,875,73.440285205,9.229550406,17.330164389
2007-01-01,35011,28132,35.979134082,35.983194509,14317,13815,96.493678843,27025,1107,3.9350206171,4695,20758,2679,1611,848,220,16.689179582,73.787857244,9.5229631736,35.523653531,12.905867617,22.617785914,57.060702875,175.25195969,8.2120194102,31.65360209,3908.810000,719.70753247,28.320639786,938,938,1868,1327,732,5803,25789,890,1453,91.671406228,3.1636570454,5.1649367269
2007-01-01,35012,18547,37.419340055,37.421051728,9778,8769,89.680916343,11708,6839,36.87388796,3103,13519,1925,1294,520,111,16.730468539,72.89049442,10.379037041,37.192100007,14.239218877,22.95288113,62.03673864,161.19480519,5.7662337662,27.012987013,17142.000000,108.19624315,39.896161475,628,606,1207,876,395,3712,10207,1315,7025,55.033159001,7.0900954332,37.876745565
2007-01-01,35013,7974,41.875094056,41.877449418,4036,3938,97.57185332,7914,60,0.7524454477,963,5587,1424,805,498,121,12.076749436,70.065211939,17.858038626,42.724181135,25.487739395,17.23644174,147.87123572,67.626404494,8.4971910112,34.971910112,3220.460000,247.6043795,1.8630878819,219,133,370,314,168,1204,7657,166,151,96.024579885,2.0817657387,1.8936543767
2007-01-01,35014,20084,34.358593906,34.364838929,10941,9143,83.566401609,12542,7542,37.552280422,3298,15633,1153,761,303,89,16.421031667,77.838080064,5.7408882693,28.471822427,7.375423783,21.096398644,34.960582171,286.03642671,7.7189939289,26.279271466,35533.400000,56.521469941,21.225100891,718,730,1281,756,393,3878,7803,4429,7852,38.851822346,22.052380004,39.09579765
