date,GEOCODE_MUNICIPIOS_DESPUES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2020-01-01,35001,5599,45.645561707,45.644736844,2800,2799,99.964285714,5239,360,6.4297195928,590,3866,1143,618,351,174,10.537595999,69.048044294,20.414359707,44.826694258,29.565442318,15.26125194,193.72881356,51.618547682,15.223097113,30.708661417,4451.160000,125.78743519,8.0877793654,97,112,243,200,102,754,4901,274,424,87.533488123,4.8937310234,7.5727808537
2020-01-01,35002,31914,40.297863007,40.295152909,16120,15794,97.977667494,29607,2307,7.2288024065,4783,23344,3787,2236,1115,436,14.987152974,73.146581438,11.866265589,36.711788897,16.222583962,20.489204935,79.176249216,126.30050172,11.513071032,29.442830737,7889.720000,404.50104693,29.240581415,726,894,2013,1501,753,5887,26577,1643,3694,83.276931754,5.1482108166,11.574857429
2020-01-01,35003,12972,42.781991983,42.786657009,6845,6127,89.510591673,6921,6051,46.646623497,1643,9374,1955,1390,444,121,12.665741597,72.263336417,15.070921986,38.382760828,20.855557926,17.527202902,118.98965307,84.040920716,6.189258312,22.710997442,25024.800000,51.836578115,24.180013427,251,302,727,477,198,1955,4963,1664,6345,38.259327783,12.827628739,48.913043478
2020-01-01,35004,64645,38.877043855,38.87598996,32443,32202,99.257158709,51883,12762,19.741666022,9972,47611,7062,4309,2079,674,15.42578699,73.649934256,10.924278753,35.777446388,14.832706727,20.944739661,70.818291215,141.20645709,9.544038516,29.439252336,2427.540000,2662.9839261,525.71739292,1827,1856,4120,2970,1464,12237,35429,8908,20308,54.805476062,13.7798747,31.414649238
2020-01-01,35005,1049,51.162535748,51.160988367,586,463,79.010238908,1043,6,0.5719733079,46,728,275,142,84,49,4.385128694,69.399428027,26.215443279,44.093406593,37.774725275,6.3186813187,597.82608696,16.727272727,17.818181818,30.545454545,6641.900000,15.793673497,0.0903355967,9,11,14,18,12,64,1009,16,24,96.186844614,1.5252621544,2.2878932316
2020-01-01,35006,38334,42.847550477,42.844756668,19077,19257,100.94354458,37459,875,2.2825689988,4913,27355,6066,3179,2018,869,12.816298847,71.359628528,15.824072625,40.135258636,22.1751051,17.960153537,123.46834928,80.992416749,14.325750082,33.267392021,3283.870000,1167.3421908,26.645390956,745,909,2111,1623,835,6223,34909,1588,1837,91.065372776,4.1425366515,4.7920905723
2020-01-01,35007,773,45.571151358,45.580391605,397,376,94.710327456,600,173,22.380336352,93,503,177,103,52,22,12.031047865,65.071151358,22.897800776,53.677932406,35.188866799,18.489065606,190.32258065,52.542372881,12.429378531,29.378531073,10370.900000,7.4535479081,1.668129092,16,20,39,26,13,114,573,26,174,74.126778784,3.3635187581,22.509702458
2020-01-01,35008,7438,43.897821995,43.898447379,3756,3682,98.029818956,7281,157,2.1107824684,877,5279,1282,665,450,167,11.79080398,70.973379941,17.23581608,40.897897329,24.284902444,16.612994885,146.18015964,68.408736349,13.026521061,35.101404056,1602.780000,464.06868067,9.7954803529,97,141,394,339,177,1148,6926,222,290,93.116429148,2.9846732993,3.8988975531
2020-01-01,35009,24370,43.706606483,43.703346621,12165,12205,100.32881217,23795,575,2.3594583504,2925,17142,4303,2173,1451,679,12.002462043,70.340582684,17.656955273,42.165441605,25.102088438,17.063353168,147.11111111,67.975830816,15.779688589,33.720660005,6254.510000,389.63883662,9.193366067,432,522,1213,1020,544,3731,22966,500,904,94.238818219,2.0517029134,3.7094788675
2020-01-01,35010,5263,45.617613528,45.617904389,2713,2550,93.991890896,4504,759,14.421432643,555,3658,1050,542,345,163,10.545316359,69.504085123,19.950598518,43.87643521,28.704209951,15.17222526,189.18918919,52.857142857,15.523809524,32.857142857,14565.300000,36.133824913,5.2110152211,88,106,226,183,102,705,3789,569,905,71.993159795,10.81132434,17.195515865
